Source,Target,Frequency per week,,Distance (Km)
Udaipur,Delhi,14,,542.6084786
Vadodara,Delhi,14,,794.5524686
Varanasi,Delhi,70,,667.035803
Vijaywada,Delhi,14,,1390.882809
Visakhapatnam,Delhi,34,,1357.282939
Bagdogra,Dibrugarh,7,,668.035915
Delhi,Dibrugarh,16,,1760.848752
Guwahati,Dibrugarh,14,,373.406671
Kolkata,Dibrugarh,33,,851.877619
Agartala,Guwahati,25,,249.1927731
Ahmedabad,Guwahati,21,,1943.636937
Aizwal,Guwahati,7,,272.5661574
Bagdogra,Guwahati,21,,330.6406758
Bangalore,Guwahati,39,,2062.380488
Bhubaneshwar,Guwahati,7,,878.640536
Chennai,Guwahati,26,,1894.322571
Delhi,Guwahati,107,,1455.540286
Dibrugarh,Guwahati,23,,373.406671
Hyderabad,Guwahati,9,,1659.595647
Imphal,Guwahati,32,,276.1351448
Jaipur,Guwahati,14,,1571.203711
Jorhat,Guwahati,7,,267.1395293
Kolkata,Guwahati,118,,498.2647013
Mumbai,Guwahati,28,,2071.050026
Passighat,Guwahati,4,,430.4529911
Silchar,Guwahati,14,,192.7138305
Tezpur,Guwahati,3,,136.9467839
Guwahati,Jorhat,7,,267.1395293
Kolkata,Jorhat,7,,735.0019712
Aizwal,Silchar,1,,124.622906
Delhi,Silchar,7,,1626.605275
Guwahati,Silchar,14,,192.7138305
Kolkata,Silchar,28,,525.0012152
Guwahati,Tezpur,3,,136.9467839
Kolkata,Lilabari,1,,768.316026
Kolkata,Lilabari,6,,768.316026
Kolkata,Dimapur,13,,648.0839719
Delhi,Gaya,7,,887.9091956
Kolkata,Gaya,13,,425.0075573
Varanasi,Gaya,8,,224.8826171
Ahmedabad,Patna,13,,1291.715629
Amritsar,Patna,11,,1211.98946
Bangalore,Patna,48,,1605.889557
Chennai,Patna,8,,1503.149697
Delhi,Patna,204,,856.7559407
Hyderabad,Patna,22,,1134.264785
Kolkata,Patna,74,,471.9516432
Lucknow,Patna,14,,438.7253509
Mumbai,Patna,67,,1448.749636
Ranchi,Patna,7,,253.9601703
Ahmedabad,Goa,26,,864.901087
Bangalore,Goa,76,,494.1337541
Chennai,Goa,27,,731.9046225
Cochin,Goa,7,,644.7830863
Delhi,Goa,137,,1504.285383
Hubli,Goa,7,,134.4667682
Hyderabad,Goa,64,,545.5792898
Indore,Goa,14,,842.8245866
Kannur,Goa,7,,427.461431
Kolkata,Goa,7,,1734.764561
Lucknow,Goa,7,,1461.133339
Mumbai,Goa,148,,424.8001046
Pune,Goa,20,,356.0607387
Surat,Goa,21,,647.7593489
Ahmedabad,Hyderabad,61,,872.2568416
Amritsar,Hyderabad,7,,1627.826033
Andal,Hyderabad,4,,1141.458622
Aurangabad,Hyderabad,14,,419.9945863
Bagdogra,Hyderabad,7,,1442.843503
Bangalore,Hyderabad,199,,508.0115122
Belagavi,Hyderabad,23,,447.2388583
Bhopal,Hyderabad,14,,659.3245507
Bhubaneshwar,Hyderabad,29,,833.2491046
Chandigarh,Hyderabad,25,,1479.778631
Chennai,Hyderabad,127,,535.7312106
Cochin,Hyderabad,44,,841.8825426
Coimbatore,Hyderabad,36,,730.5114732
Cuddapah,Hyderabad,7,,328.8663726
Dehradun,Hyderabad,7,,1416.59076
Delhi,Hyderabad,212,,1243.653871
Goa,Hyderabad,69,,545.5792898
Gorakhpur,Hyderabad,7,,1152.812355
Guwahati,Hyderabad,10,,1659.595647
Gwalior,Hyderabad,7,,983.2741673
Hubli,Hyderabad,8,,429.2485418
Indore,Hyderabad,29,,649.1241696
Jabalpur,Hyderabad,16,,657.6465943
Jagdalpur,Hyderabad,7,,417.7293488
Jaipur,Hyderabad,46,,1077.201668
Jharsuguda,Hyderabad,7,,766.3780834
Kannur,Hyderabad,21,,691.0431501
Kishangarh,Hyderabad,8,,1083.179052
Kolhapur,Hyderabad,14,,452.7850596
Kolkata,Hyderabad,79,,1191.506401
Lucknow,Hyderabad,22,,1064.53282
Madurai,Hyderabad,21,,848.0499163
Mangalore,Hyderabad,15,,629.9128527
Mumbai,Hyderabad,165,,618.6013398
Mysore,Hyderabad,15,,604.6177967
Nagpur,Hyderabad,7,,409.0882528
Nanded,Hyderabad,7,,226.5572036
Nashik,Hyderabad,7,,565.0585085
Patna,Hyderabad,21,,1134.264785
Pondicherry,Hyderabad,7,,626.6258156
Port Blair,Hyderabad,7,,1664.556269
Pune,Hyderabad,34,,497.0091955
Raipur,Hyderabad,28,,538.0543148
Rajahmundry,Hyderabad,51,,357.7208859
Ranchi,Hyderabad,7,,967.1257423
Shirdi,Hyderabad,32,,496.3419454
Surat,Hyderabad,15,,725.7374036
Tirupathi,Hyderabad,63,,440.0216068
Trichy,Hyderabad,8,,744.4806679
Trivandrum,Hyderabad,21,,1011.351569
Udaipur,Hyderabad,7,,927.0727277
Vadodara,Hyderabad,7,,771.3263266
Varanasi,Hyderabad,28,,998.5594328
Vidyanagar,Hyderabad,7,,320.1668312
