Airport Names	Airport(Arrival)	Frequency per week
Tirupathi	Hyderabad	62
Tirupathi	Kolhapur	7
Tirupathi	Vijaywada	9
Vijaywada	Bangalore	40
Vijaywada	Chennai	14
Vijaywada	Delhi	14
Vijaywada	Hyderabad	63
Vijaywada	Kadapa	7
Vijaywada	Tirupathi	9
Vijaywada	Visakhapatnam	13
Visakhapatnam	Bangalore	34
Visakhapatnam	Chennai	27
Visakhapatnam	Delhi	47
Visakhapatnam	Hyderabad	92
Visakhapatnam	Kolkata	19
Visakhapatnam	Mumbai	5
Visakhapatnam	Port Blair	6
Visakhapatnam	Raipur	7
Visakhapatnam	Rajahmundry	7
Visakhapatnam	Vijaywada	13
Ranchi	Bangalore	37
Ranchi	Bhubaneshwar	7
Ranchi	Delhi	98
Ranchi	Hyderabad	14
Ranchi	Kolkata	28
Ranchi	Mumbai	26
Ranchi	Patna	8
Ranchi	Raipur	7
Shillong	Kolkata	7
Dharamshala	Chandigarh	6
Dharamshala	Delhi	15
Dharamshala	Shimla	3
Kullu	Chandigarh	18
Kullu	Delhi	21
Kullu	Shimla	3
Shimla	Chandigarh	6
Shimla	Delhi	7
Shimla	Dharamshala	3
Shimla	Kullu	3
Diu	Ahmedabad	6
Diu	Mumbai	7
Leh	Chandigarh	4
Leh	Delhi	30
Leh	Jammu	3
Leh	Srinagar	2
Thoise	Delhi	2
Passighat	Guwahati	4
Pakyong	Kolkata	7
Pondicherry	Bangalore	5
Pondicherry	Hyderabad	7
